Month,Average Value
2019-07,19.25
2019-08,16.25
2019-09,13.8
2019-10,13.0
2019-11,13.5
2019-12,18.6
2020-01,22.0
2020-02,21.5
2020-03,25.8
2020-04,27.75
2020-05,25.0
2020-06,32.25
2020-07,79.0
2020-08,66.8
2020-09,74.75
2020-10,43.25
2020-11,31.4
2020-12,33.5
2021-01,62.0
2021-02,55.0
2021-03,60.25
2021-04,39.0
2021-05,31.8
2021-06,29.25
2021-07,30.5
2021-08,29.6
2021-09,24.0
2021-10,21.4
2021-11,20.75
2021-12,21.5
2022-01,25.2
2022-02,24.0
2022-03,21.25
2022-04,22.25
2022-05,21.6
2022-06,21.0
2022-07,20.4
2022-08,20.25
2022-09,18.0
2022-10,16.4
2022-11,14.5
2022-12,16.75
2023-01,17.6
2023-02,16.5
2023-03,21.25
2023-04,19.8
2023-05,16.75
2023-06,17.25
2023-07,18.6
2023-08,18.0
2023-09,15.0
2023-10,14.2
2023-11,13.75
2023-12,15.8
2024-01,16.75
2024-02,15.75
2024-03,21.6
2024-04,19.5
2024-05,18.25
2024-06,22.0
